year,brand,title,youtube_url,funny,show_product_quickly,patriotic,celebrity,danger,animals,use_sex,view_count,like_count,dislike_count,comment_count
2018,Toyota,Toyota Super Bowl Commercial 2018 Good Odds,https://www.youtube.com/watch?v=zeBZvwYQ-hA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,173929,1233,38,NA
2020,Bud Light,Bud Light: Post Malone #PostyStore Inside Post's Brain,https://www.youtube.com/watch?v=nbbp0VW7z8w,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,47752,485,14,14
2006,Bud Light,"Super Bowl 2006: Bud Light ""Save Yourself""",https://www.youtube.com/watch?v=yk0MQD5YgV8,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,142310,129,15,9
2018,Hynudai,Hyundai / Hope Detector (2018),https://www.youtube.com/watch?v=lNPccrGk77A,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,198,2,0,0
2003,Bud Light,bud light pick up,https://www.youtube.com/watch?v=ovQYgnXHooY,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,13741,20,3,2
2020,Toyota,Toyota Super Bowl Commercial 2020 Cobie Smulders Heroes,https://www.youtube.com/watch?v=f34Ji70u3nk,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,23636,115,11,13
2020,Coca-Cola,Coca-Cola Energy - Show Up ft. Jonah Hill & Martin Scorsese,https://www.youtube.com/watch?v=-gAZRN3SCBw,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,304254,1470,384,227
2020,Kia,"Kia Seltos Super Bowl 2020 TV Commercial, 'Tough Never Quits'",https://www.youtube.com/watch?v=lMs79UXam9A,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,17892,78,6,6
2020,Hynudai,Hyundai: Super Bowl Commercial - Smaht Pahk,https://www.youtube.com/watch?v=WBvkmWDjsYc,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,38385,342,7,30
2020,Budweiser,Budweiser - Typical American,https://www.youtube.com/watch?v=J0xugdotpp8,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,782,7,0,0
2010,Hynudai,[HD] 2010 Super Bowl Commercial | New Hyundai Super Bowl 44 XLIV Ad | Hyundai Body Pass 2011 Sonata,https://www.youtube.com/watch?v=dWQqIeAYfK8,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,68458,46,14,8
2010,Bud Light,[HD] Exclusive Bud Light Scientist 2010 SuperBowl 44 XLIV Commercial Ad,https://www.youtube.com/watch?v=agISXMN4tng,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,3805,9,0,1
2007,Budweiser,"2007 Super Bowl Commercials - Budweiser, King Crab",https://www.youtube.com/watch?v=7KHlMJE84eA,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,184689,133,24,13
2002,Budweiser,"Budweiser - Respect (2002, USA)",https://www.youtube.com/watch?v=1MZUvib98Rs,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,121400,642,10,50
2020,NFL,NEXT 100  || NFL Super Bowl LIV Commercial,https://www.youtube.com/watch?v=lbkafMhmvMo,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,26727063,175429,7445,8441
2017,NFL,Super Bowl Baby Legends | Who’s Next? | Football is Family,https://www.youtube.com/watch?v=9csH_Hy-7A4,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,865781,2315,130,162
2005,Bud Light,Bud Light Cockato ad,https://www.youtube.com/watch?v=-gTWA5AsTP8,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,8990,29,0,3
2009,Pepsi,Pepsi Max - I'm Good Super Bowl XLIII Commercial 2009,https://www.youtube.com/watch?v=qUZaSf7T7ig,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,129399,345,12,42
2004,Bud Light,Frank the Monkey Bud Light,https://www.youtube.com/watch?v=mjN3OY9Eefk,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,3739,115,1,59
2020,Doritos,"Doritos Super Bowl Commercial 2020 Lil Nas X, Sam Elliott The Cool Ranch",https://www.youtube.com/watch?v=6xVnq31Vk8Y,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,1990447,10717,576,319
2007,Bud Light,Bud Light Slap,https://www.youtube.com/watch?v=aOfRpCp6Pgw,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,72997,86,30,33
2020,Pepsi,Pepsi | Zero Sugar | SuperBowl Commercials 2020,https://www.youtube.com/watch?v=Ozb_fJB_z6o,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,29219,146,38,29
